WL          E.P.     loggf    ele      num    EWsun
------      -----    -----   ----      ----   -----
5688.22     2.10     -0.517   NaI     11.0    121.4 
6154.23     2.10     -1.633   NaI     11.0     36.6 
6160.75     2.10     -1.354   NaI     11.0     54.3 
4730.04     4.35     -2.295   MgI     12.0     69.6 
5711.09     4.35     -1.839   MgI     12.0    105.6 
6319.24     5.11     -2.337   MgI     12.0     25.2 
6318.72     5.11     -2.073   MgI     12.0     39.9 
6696.03     3.14     -1.604   AlI     13.0     36.2 
6698.67     3.14     -1.917   AlI     13.0     21.1 
5517.54     5.08     -2.542   SiI     14.0     12.9 
5621.60     5.08     -2.692   SiI     14.0      9.5 
5645.61     4.93     -2.119   SiI     14.0     35.8 
5684.49     4.95     -1.703   SiI     14.0     61.2 
5690.43     4.93     -1.871   SiI     14.0     50.9 
5701.11     4.93     -2.086   SiI     14.0     37.7 
5753.64     5.62     -1.392   SiI     14.0     45.7 
5772.15     5.08     -1.726   SiI     14.0     52.0 
5797.87     4.95     -1.965   SiI     14.0     43.9 
5948.54     5.08     -1.276   SiI     14.0     85.4 
6125.02     5.61     -1.606   SiI     14.0     31.7 
6142.49     5.62     -1.573   SiI     14.0     33.1 
6145.02     5.62     -1.478   SiI     14.0     38.8 
6195.46     5.87     -1.716   SiI     14.0     17.1 
6237.33     5.61     -1.176   SiI     14.0     61.1 
6243.82     5.62     -1.385   SiI     14.0     44.8 
6244.48     5.62     -1.365   SiI     14.0     46.2 
6414.99     5.87     -1.256   SiI     14.0     40.7 
6527.21     5.87     -1.278   SiI     14.0     38.9 
6583.71     5.95     -1.682   SiI     14.0     16.0 
6721.85     5.86     -1.208   SiI     14.0     44.0 
6741.63     5.98     -1.670   SiI     14.0     15.5 
5261.71     2.52     -0.747   CaI     20.0     97.7 
5349.47     2.71     -0.651   CaI     20.0     94.6 
5512.98     2.93     -0.624   CaI     20.0     84.8 
5867.56     2.93     -1.628   CaI     20.0     25.1 
6156.02     2.52     -2.526   CaI     20.0      9.6 
6161.29     2.52     -1.352   CaI     20.0     60.6 
6166.44     2.52     -1.197   CaI     20.0     69.9 
6169.04     2.52     -0.852   CaI     20.0     92.2 
6449.82     2.52     -0.783   CaI     20.0     98.1 
6455.60     2.52     -1.438   CaI     20.0     56.3 
6471.67     2.53     -0.873   CaI     20.0     91.2 
6499.65     2.52     -0.962   CaI     20.0     85.8 
4743.82     1.45      0.266   ScI     21.0      8.0 
5520.50     1.87      0.537   ScI     21.0      6.6 
5671.82     1.45      0.508   ScI     21.0     14.6 
5526.82     1.77      0.070  ScII     21.1     76.3 
5657.88     1.51     -0.389  ScII     21.1     66.9 
5667.14     1.50     -1.082  ScII     21.1     33.9 
5684.19     1.51     -1.003  ScII     21.1     37.2 
6245.62     1.51     -1.076  ScII     21.1     34.9 
6320.84     1.50     -1.913  ScII     21.1      8.1 
6604.60     1.36     -1.209  ScII     21.1     36.4 
4555.49     0.85     -0.615   TiI     22.0     63.7 
4562.63     0.02     -2.742   TiI     22.0     10.9 
4645.19     1.73     -0.698   TiI     22.0     22.0 
4656.47     0.00     -1.338   TiI     22.0     68.6 
4675.11     1.07     -0.970   TiI     22.0     38.1 
4722.61     1.05     -1.458   TiI     22.0     18.7 
4820.41     1.50     -0.463   TiI     22.0     43.1 
4913.62     1.87      0.030   TiI     22.0     50.2 
4997.10     0.00     -2.195   TiI     22.0     31.6 
5016.17     0.85     -0.688   TiI     22.0     63.2 
5039.96     0.02     -1.223   TiI     22.0     75.3 
5064.06     2.69     -0.509   TiI     22.0      5.5 
5071.49     1.46     -0.825   TiI     22.0     28.8 
5113.44     1.44     -0.889   TiI     22.0     27.0 
5145.47     1.46     -0.652   TiI     22.0     37.0 
5219.70     0.02     -2.274   TiI     22.0     28.1 
5490.16     1.46     -1.033   TiI     22.0     21.4 
5503.90     2.58     -0.247   TiI     22.0     12.3 
5648.57     2.49     -0.436   TiI     22.0     10.1 
5662.16     2.32     -0.150   TiI     22.0     23.5 
5739.48     2.25     -0.802   TiI     22.0      7.7 
5766.33     3.29      0.298   TiI     22.0      9.6 
5866.45     1.07     -0.862   TiI     22.0     48.1 
5965.84     1.88     -0.515   TiI     22.0     26.7 
5978.55     1.87     -0.627   TiI     22.0     22.6 
6064.63     1.05     -1.959   TiI     22.0      8.3 
6091.18     2.27     -0.470   TiI     22.0     15.0 
6126.22     1.07     -1.435   TiI     22.0     22.1 
6258.11     1.44     -0.455   TiI     22.0     51.5 
6261.10     1.43     -0.511   TiI     22.0     49.2 
6599.12     0.90     -2.083   TiI     22.0      9.3 
4583.41     1.16     -2.904  TiII     22.1     31.8 
4636.33     1.16     -3.213  TiII     22.1     19.8 
4657.20     1.24     -2.447  TiII     22.1     49.3 
4708.67     1.24     -2.459  TiII     22.1     48.9 
4911.20     3.12     -0.613  TiII     22.1     52.3 
5211.54     2.59     -1.554  TiII     22.1     32.8 
5381.03     1.57     -1.967  TiII     22.1     59.1 
5418.77     1.58     -2.166  TiII     22.1     49.5 
4502.21     2.92     -0.580   MnI     25.0     57.0 
